mirna	HC1-Th17	HC2-nonTh17	HC2-Th17	HC3-nonTh17	HC3-Th17	HC4-nonTh17	HC4-Th17	AS1-nonTh17	AS1-Th17AS2-nonTh17	AS2-Th17	AS3-nonTh17	AS4-nonTh17
hsa-miR-4491	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4492	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4493	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4494	0	0	1	3	0	0	0	1	1	0	0	0	1
hsa-miR-4495	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4496	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4497	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4498	0	1	3	2	1	2	0	2	0	0	0	0	0
hsa-miR-4499	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-449a	0	4	3	6	8	5	0	3	0	0	0	3	0
hsa-miR-449b-3p	0	0	0	1	0	0	0	2	0	0	0	0	0
hsa-miR-449b-5p	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-449c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-449c-5p	0	33	33	47	69	5	1	14	5	2	0	15	5
hsa-miR-4500	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4501	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4502	0	0	0	2	1	0	0	0	0	0	0	1	0
hsa-miR-4503	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4504	0	2	1	3	0	0	0	0	0	0	0	4	3
hsa-miR-4505	0	1	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-4506	1	0	1	1	1	0	0	0	2	0	0	11	0
hsa-miR-4507	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4508	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4509	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450a-1-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-450a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-450b-5p	0	4	6	3	3	3	0	0	14	1	0	5	4
hsa-miR-4510	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4511	0	0	2	0	1	0	2	1	3	0	0	1	1
hsa-miR-4512	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4513	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4514	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4515	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4516	0	0	0	0	0	0	0	1	0	0	0	1	0
hsa-miR-4517	0	3	0	4	6	0	1	1	2	0	0	3	0
hsa-miR-4518	0	8	6	18	39	0	0	2	1	1	0	13	3
hsa-miR-4519	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-451a	5	19	8	13	17	10	12	27	34	7	6	16	136
hsa-miR-451b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-452-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-452-5p	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4520a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4520a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4520b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4520b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4521	136	142	219	339	288	222	147	1055	266	239	5	179	394
hsa-miR-4522	0	0	1	0	0	0	0	1	0	0	0	2	0
hsa-miR-4523	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-4524a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4524a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4524b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4524b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4525	0	0	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-4526	0	0	0	0	0	0	0	2	1	0	0	0	1
hsa-miR-4527	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4528	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4529-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4529-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4530	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4531	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4532	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4533	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4534	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4535	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4536-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4536-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4537	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4538	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4539	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-454-3p	11	158	81	26	45	19	4	37	11	10	0	20	37
hsa-miR-454-5p	4	45	44	22	25	2	3	11	13	2	0	25	10
hsa-miR-4540	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-455-3p	0	0	2	0	0	0	0	2	1	3	0	4	0
hsa-miR-455-5p	0	0	7	5	1	6	0	19	9	6	0	39	14
hsa-miR-4632-3p	0	0	0	0	0	0	0	1	1	0	0	1	1
hsa-miR-4632-5p	0	0	0	0	2	1	0	0	2	3	0	1	0
hsa-miR-4633-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4633-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4634	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4635	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4636	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4637	0	0	2	0	0	0	0	0	3	0	0	0	0
hsa-miR-4638-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4638-5p	0	1	0	0	0	4	0	0	0	0	0	0	0
hsa-miR-4639-3p	0	0	0	0	0	0	0	1	2	0	0	0	0
hsa-miR-4639-5p	0	2	0	1	0	0	0	0	1	0	0	0	1
hsa-miR-4640-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4640-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4641	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4642	0	1	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4643	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4644	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4645-3p	0	4	2	0	3	1	1	5	7	2	5	0	0
hsa-miR-4645-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4646-3p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4646-5p	0	0	0	0	1	1	0	0	0	0	0	0	0
hsa-miR-4647	0	0	0	1	0	0	0	0	4	0	0	1	0
hsa-miR-4648	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4649-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4649-5p	0	0	0	0	0	1	0	0	0	2	0	0	1
hsa-miR-4650-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4650-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4651	1	1	0	1	0	2	0	7	1	3	0	1	1
hsa-miR-4652-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4652-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4653-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4653-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4654	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4655-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4656	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4657	1	1	3	0	0	0	0	1	0	0	0	0	0
hsa-miR-4658	0	0	1	0	0	0	0	3	0	0	0	1	0
hsa-miR-4659a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4659b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-466	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4660	0	0	2	1	1	1	1	0	0	0	0	0	1
hsa-miR-4661-3p	0	0	1	0	1	0	0	0	0	0	0	0	0
hsa-miR-4661-5p	1	4	11	13	8	0	0	9	6	1	0	9	5
hsa-miR-4662a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4662a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4662b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4663	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4664-3p	0	0	1	4	1	0	0	0	0	0	0	3	1
hsa-miR-4664-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4665-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4665-5p	0	4	7	2	6	0	1	0	3	1	0	2	0
hsa-miR-4666a-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4666a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4666b	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4667-3p	0	0	0	1	4	1	0	0	1	0	0	0	0
hsa-miR-4667-5p	0	1	0	1	0	0	0	0	0	0	0	2	0
hsa-miR-4668-3p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4668-5p	0	0	0	0	0	0	0	1	0	1	0	0	1
hsa-miR-4669	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4670-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4671-3p	0	0	0	1	1	0	0	1	5	2	0	0	0
hsa-miR-4671-5p	0	0	1	3	0	0	0	2	0	0	0	0	1
hsa-miR-4672	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4673	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4674	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-4675	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-3p	0	2	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4676-5p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4677-3p	0	10	8	11	6	2	0	3	6	2	0	5	6
hsa-miR-4677-5p	0	0	0	1	1	0	0	2	1	0	0	0	0
hsa-miR-4678	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4679	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4680-3p	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-4680-5p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4681	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4682	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4683	0	1	0	1	0	0	0	4	0	1	0	0	0
hsa-miR-4684-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4684-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	0	2	3	2	3	1	0	5	2	0	0	4	0
hsa-miR-4685-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4686	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-3p	0	1	0	2	0	0	0	0	1	0	0	2	0
hsa-miR-4687-5p	2	1	0	2	0	1	0	3	0	0	0	0	0
hsa-miR-4688	0	1	2	0	0	0	0	0	0	0	0	0	2
hsa-miR-4689	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4690-3p	0	0	1	0	1	0	0	1	0	0	0	0	0
hsa-miR-4690-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4691-3p	0	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-4691-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4692	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4693-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4694-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4695-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4696	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4697-5p	1	2	2	0	0	0	0	0	0	0	0	1	1
hsa-miR-4698	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4699-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4700-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4700-5p	0	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4703-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4703-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4704-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4705	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4706	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4707-3p	0	0	1	3	2	0	0	0	0	0	0	0	0
hsa-miR-4707-5p	0	1	3	0	9	0	0	1	0	0	0	6	0
hsa-miR-4708-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4708-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4709-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4710	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4711-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4712-3p	0	2	0	0	0	0	1	1	0	0	0	0	1
hsa-miR-4712-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4713-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4713-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4718	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4719	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4720-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4721	0	0	0	1	2	0	0	0	0	0	0	0	0
hsa-miR-4722-3p	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4722-5p	0	0	2	0	0	0	0	0	0	0	0	0	0
hsa-miR-4723-3p	0	0	3	0	1	2	0	2	0	0	0	1	0
hsa-miR-4723-5p	0	1	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-4724-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4724-5p	0	1	0	1	2	0	0	0	1	0	0	1	0
hsa-miR-4725-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	0	0	1	5	2	0	0	0	0	0	0	4	1
hsa-miR-4727-3p	0	0	0	1	0	0	1	3	1	0	0	0	0
hsa-miR-4727-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-3p	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-4728-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4729	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4730	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4732-3p	0	0	0	0	0	0	0	0	0	3	0	0	0
hsa-miR-4732-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4733-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4733-5p	0	0	0	1	6	0	0	0	0	0	0	0	0
hsa-miR-4734	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4735-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4736	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4737	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4738-3p	0	0	1	1	0	1	0	0	0	0	0	0	0
hsa-miR-4738-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4739	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4740-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	1	1	5	4	10	0	0	0	0	0	0	0	0
hsa-miR-4742-3p	0	2	4	0	2	1	0	3	4	0	0	1	3
hsa-miR-4742-5p	0	3	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4743-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4744	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	0	2	2	7	3	0	0	1	0	0	0	2	0
hsa-miR-4745-5p	2	2	8	12	5	0	0	1	2	0	0	3	0
hsa-miR-4746-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4746-5p	1	20	27	16	12	1	1	6	7	0	0	25	1
hsa-miR-4747-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4747-5p	0	0	0	1	2	0	0	0	3	0	0	1	0
hsa-miR-4748	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-4749-3p	0	0	1	0	0	1	0	1	0	0	0	0	2
hsa-miR-4749-5p	0	0	0	0	0	0	0	1	0	0	0	1	1
hsa-miR-4750-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4750-5p	0	0	1	0	0	0	0	0	0	0	0	3	0
hsa-miR-4751	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-4752	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4753-3p	0	0	2	0	0	0	0	0	1	1	0	0	2
hsa-miR-4753-5p	0	0	1	0	1	0	1	0	0	0	0	0	1
hsa-miR-4754	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4755-3p	0	1	1	0	0	0	0	0	0	2	0	0	0
hsa-miR-4755-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4756-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4757-3p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4757-5p	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4758-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4759	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4760-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4761-3p	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4761-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	0	0	1	0	2	1	0	1	0	0	0	0	2
hsa-miR-4762-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4763-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4763-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4764-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4765	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4766-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4766-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4767	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4768-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4768-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4769-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4769-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4770	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4771	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4772-3p	2	26	11	6	2	2	0	8	0	2	0	5	2
hsa-miR-4772-5p	0	24	22	12	10	0	1	2	5	1	0	10	2
hsa-miR-4773	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4774-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4775	0	1	1	0	1	1	0	3	0	0	0	0	0
hsa-miR-4776-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4776-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4777-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4778-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4779	0	1	0	2	1	0	0	2	0	0	0	0	0
hsa-miR-4780	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4781-3p	0	4	2	2	4	1	1	12	6	0	0	0	7
hsa-miR-4781-5p	0	1	0	1	1	0	0	0	2	0	0	2	2
hsa-miR-4782-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4782-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4783-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4784	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-4785	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4786-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4786-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4787-3p	0	0	1	1	0	0	0	2	0	0	0	0	1
hsa-miR-4787-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4788	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4789-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4790-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4790-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4791	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4792	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4793-3p	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-4793-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4794	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4796-3p	0	1	0	1	0	0	0	3	1	0	0	0	1
hsa-miR-4796-5p	0	3	0	1	0	0	0	0	2	2	0	0	1
hsa-miR-4797-3p	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-4797-5p	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-4798-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4798-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4799-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4800-3p	0	0	2	0	0	1	2	2	2	0	0	1	0
hsa-miR-4800-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4801	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4802-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4802-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4803	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4804-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4804-5p	0	1	0	1	1	0	0	0	0	0	0	0	0
hsa-miR-483-3p	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-483-5p	0	0	1	0	0	4	1	0	1	15	1	6	0
hsa-miR-484	86	2522	1659	784	993	391	85	1264	589	376	13	889	918
hsa-miR-485-3p	0	0	0	0	0	0	0	0	0	0	0	1	1
hsa-miR-485-5p	1	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-486-3p	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-486-5p	0	0	0	0	0	0	0	0	0	0	0	0	0
